is_non_hl_white,Zero,Less Than Half of True Population,Twice the True Population,Ten Times the True Population
Not Hispanic or Latino: White alone,0.006353843344896842,0.006353843344896842,0.004669527113383239,3.7429249589191165e-4
Racial Minority,0.24130526116804402,0.24130526116804402,0.06966748911096558,0.00730072950168808
